TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_bin,CustomerAge_bin,Target
71.48000000000005,2023-06-08 18:18:50,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,2024-11-04 08:09:20,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",2
59.31999999999999,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24,"(-1.019, -0.75]","(0.579, 1.981]",1
85.76999999999995,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,"(-0.75, -0.33]","(-0.711, 0.579]",3
52.19999999999999,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 08:07:01,"(-1.019, -0.75]","(-0.711, 0.579]",2
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",1
7.490000000000009,2023-10-20 17:53:13,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,2024-11-04 08:09:44,"(-1.019, -0.75]","(0.579, 1.981]",0
40.31999999999999,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,"(-1.019, -0.75]","(-0.711, 0.579]",1
127.44999999999999,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,"(-0.75, -0.33]","(-0.711, 0.579]",1
56.170000000000016,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",3
28.310000000000002,2023-07-17 17:49:22,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,2024-11-04 08:09:17,"(-1.019, -0.75]","(0.579, 1.981]",3
59.12000000000003,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",1
877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",1
255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,2024-11-04 08:10:51,"(-0.33, 0.256]","(-0.711, 0.579]",0
124.75999999999999,2023-10-16 16:32:56,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,"(-0.75, -0.33]","(-0.711, 0.579]",0
78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,2024-11-04 08:12:18,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",0
335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,2024-11-04 08:07:32,"(-0.33, 0.256]","(-0.711, 0.579]",1
328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31,"(-0.33, 0.256]","(0.579, 1.981]",3
34.01999999999998,2023-01-09 16:13:21,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,2024-11-04 08:11:45,"(-1.019, -0.75]","(-0.711, 0.579]",1
241.42,2023-04-20 18:57:43,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,2024-11-04 08:09:03,"(-0.33, 0.256]","(0.579, 1.981]",2
55.31999999999999,2023-04-12 16:03:37,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,2024-11-04 08:08:03,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",2
304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,2024-11-04 08:09:53,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",3
435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2024-11-04 08:11:12,"(0.256, 2.051]","(0.579, 1.981]",3
164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",0
510.24,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,2024-11-04 08:11:35,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",3
626.9,2023-11-27 16:45:57,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,2024-11-04 08:07:24,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",0
22.00999999999999,2023-03-27 16:45:18,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.0900000000001,2024-11-04 08:06:31,"(-1.019, -0.75]","(-0.711, 0.579]",1
425.34,2023-02-13 16:59:39,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,2024-11-04 08:07:07,"(0.256, 2.051]","(0.579, 1.981]",1
424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,nan,"(0.256, 2.051]","(-0.711, 0.579]",1
85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,"(-0.75, -0.33]","(0.579, 1.981]",2
169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,2024-11-04 08:08:58,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",3
104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42,"(-0.75, -0.33]","(0.579, 1.981]",1
316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,2024-11-04 08:09:15,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",3
60.539999999999964,2023-12-14 17:52:37,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,2024-11-04 08:09:57,"(-1.019, -0.75]","(0.579, 1.981]",0
292.56,2023-03-03 17:37:41,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,2024-11-04 08:07:49,"(-0.33, 0.256]","(0.579, 1.981]",1
386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48.0,Engineer,27.999999999999986,1.0,5630.61,2024-11-04 08:07:09,"(0.256, 2.051]","(-0.711, 0.579]",2
112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,2024-11-04 08:11:37,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",3
568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,nan,"(0.256, 2.051]","(-0.711, 0.579]",3
349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09,"(-0.33, 0.256]","(-0.711, 0.579]",0
601.4,2023-05-30 17:43:25,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,2024-11-04 08:08:01,"(0.256, 2.051]","(0.579, 1.981]",2
5.769999999999982,2023-11-02 16:01:40,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,2024-11-04 08:11:32,"(-1.019, -0.75]","(-0.711, 0.579]",0
201.33,2023-03-29 17:00:31,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,2024-11-04 08:11:41,"(-0.75, -0.33]","(-0.711, 0.579]",1
298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12,"(-0.33, 0.256]","(0.579, 1.981]",2
521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",2
117.28,2023-02-09 16:34:53,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,2024-11-04 08:07:11,"(-0.75, -0.33]","(0.579, 1.981]",1
189.12,2023-11-13 16:42:28,Credit,Indianapolis,nan,32.0,Engineer,103.0,1.0,977.0100000000002,2024-11-04 08:08:42,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",0
133.55000000000004,2023-07-18 16:12:00,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,2024-11-04 08:10:18,"(-0.75, -0.33]","(-0.711, 0.579]",3
143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26,"(-0.75, -0.33]","(-0.711, 0.579]",1
24.769999999999982,2023-07-04 18:20:33,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15,"(-1.019, -0.75]","(0.579, 1.981]",2
233.92,2023-10-20 16:54:28,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,2024-11-04 08:08:45,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",0
232.12,2023-12-28 17:31:03,Debit,nan,ATM,37.0,Engineer,51.0,1.0,6689.87,2024-11-04 08:09:17,"(-0.33, 0.256]","(-0.711, 0.579]",0
297.6564675428116,2023-06-12 17:53:52,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.1700000000001,2024-11-04 08:08:22,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",2
91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,2024-11-04 08:11:36,"(-0.75, -0.33]","(-0.711, 0.579]",1
120.29000000000002,2023-12-18 18:46:27,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,2024-11-04 08:06:50,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",0
174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29,"(-0.75, -0.33]","(-0.711, 0.579]",3
183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,2024-11-04 08:09:51,"(-0.75, -0.33]","(-0.711, 0.579]",2
345.39,nan,Credit,Phoenix,nan,58.0,Engineer,80.0,1.0,6451.96,2024-11-04 08:08:16,"(-0.33, 0.256]","(0.579, 1.981]",0
259.91,2023-11-06 16:34:10,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38,"(-0.33, 0.256]","(-0.711, 0.579]",0
154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,2024-11-04 08:09:42,"(-0.75, -0.33]","(-0.711, 0.579]",2
24.560000000000002,2023-10-20 17:27:35,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,2024-11-04 08:12:05,"(-1.019, -0.75]","(0.579, 1.981]",0
568.07,2023-08-28 17:03:53,nan,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,2024-11-04 08:07:32,"(0.256, 2.051]","(-0.711, 0.579]",3
9.610000000000014,2023-06-22 18:37:29,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,2024-11-04 08:09:10,"(-1.019, -0.75]","(0.579, 1.981]",2
392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,2024-11-04 08:08:38,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",0
716.93,2023-09-14 16:49:33,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,2024-11-04 08:08:12,"(0.256, 2.051]","(0.579, 1.981]",3
230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.0500000000002,2024-11-04 08:10:44,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",1
644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.5199999999995,2024-11-04 08:08:04,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",1
508.68,2023-06-26 16:16:50,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,2024-11-04 08:09:32,"(0.256, 2.051]","(-0.711, 0.579]",2
858.63,2023-04-18 17:27:23,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,2024-11-04 08:10:47,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",2
25.360000000000014,2023-07-17 17:08:24,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,2024-11-04 08:11:05,"(-1.019, -0.75]","(0.579, 1.981]",3
147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22,"(-0.75, -0.33]","(0.579, 1.981]",3
115.01999999999998,2023-09-11 16:19:04,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38,"(-0.75, -0.33]","(-0.711, 0.579]",3
383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 08:11:07,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",1
98.54000000000002,2023-08-11 16:18:46,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,2024-11-04 08:10:02,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",3
83.23999999999998,2023-10-16 18:35:11,nan,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.3100000000004,2024-11-04 08:10:52,"(-0.75, -0.33]","(-0.711, 0.579]",0
196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",1
129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,2024-11-04 08:06:35,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",1
306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,2024-11-04 08:10:48,"(-0.33, 0.256]","(-0.711, 0.579]",0
114.98000000000002,2023-11-01 16:52:01,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24,"(-0.75, -0.33]","(0.579, 1.981]",0
756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.64999999999964,2024-11-04 08:11:40,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",1
503.76,2023-11-27 18:32:49,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.8199999999997,2024-11-04 08:09:22,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",0
143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,2024-11-04 08:10:42,"(-0.75, -0.33]","(0.579, 1.981]",3
245.54,2023-03-21 16:29:31,nan,New York,ATM,25.0,Student,180.0,1.0,985.0599999999995,2024-11-04 08:10:26,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",1
254.37,2023-04-20 18:26:50,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,2024-11-04 08:06:56,"(-0.33, 0.256]","(-0.711, 0.579]",2
213.76,2023-03-01 17:52:14,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,2024-11-04 08:09:36,"(-0.33, 0.256]","(0.579, 1.981]",1
327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,2024-11-04 08:06:30,"(-0.33, 0.256]","(-0.711, 0.579]",1
2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53,"(-1.019, -0.75]","(-0.711, 0.579]",3
300.08,2023-10-09 17:02:43,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,2024-11-04 08:12:18,"(-0.33, 0.256]","(0.579, 1.981]",3
407.65,2023-07-07 16:11:38,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,nan,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",2
115.82999999999998,2023-05-22 17:09:52,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02,"(-0.75, -0.33]","(-0.711, 0.579]",2
53.56999999999999,2023-08-16 16:17:12,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43,"(-1.019, -0.75]","(0.579, 1.981]",3
63.34,2023-11-17 16:02:02,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,2024-11-04 08:10:13,"(-1.019, -0.75]","(-0.711, 0.579]",0
317.87,nan,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2024-11-04 08:11:32,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",0
331.65,2023-08-25 17:26:07,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,2024-11-04 08:11:00,"(-0.33, 0.256]","(-0.711, 0.579]",3
5.0400000000000205,2023-11-27 16:38:34,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48,"(-1.019, -0.75]","(0.579, 1.981]",0
214.54,2023-08-04 17:46:44,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,2024-11-04 08:11:56,"(-0.33, 0.256]","(0.579, 1.981]",3
598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 08:10:13,"(0.256, 2.051]","(0.579, 1.981]",3
841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6400000000003,2024-11-04 08:09:58,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",3
38.14999999999998,2023-09-07 16:07:40,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,2024-11-04 08:07:42,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",3
124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 08:07:25,"(-0.75, -0.33]","(-0.711, 0.579]",2
302.45,2023-09-25 17:13:36,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,2024-11-04 08:11:55,"(-0.33, 0.256]","(0.579, 1.981]",3
208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 08:08:45,"(-0.33, 0.256]","(-0.711, 0.579]",0
5.769999999999982,2023-11-17 17:27:07,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.9699999999998,2024-11-04 08:10:53,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",0
381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 08:09:32,"(0.256, 2.051]","(0.579, 1.981]",3
16.160000000000025,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,2024-11-04 08:11:59,"(-1.019, -0.75]","(-0.711, 0.579]",0
486.08,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,2024-11-04 08:07:03,"(0.256, 2.051]","(-1.4969999999999999, -0.711]",2
336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 08:09:57,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",1
234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.97999999999956,2024-11-04 08:08:47,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",3
6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 08:09:43,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",0
227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.9399999999996,2024-11-04 08:11:34,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",2
233.74,2023-10-24 16:41:00,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.5900000000001,2024-11-04 08:11:17,"(-0.33, 0.256]","(0.579, 1.981]",0
297.6564675428116,2023-09-25 16:54:22,Credit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,2024-11-04 08:07:21,"(-0.33, 0.256]","(0.579, 1.981]",3
45.849999999999994,2023-02-16 17:57:10,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,2024-11-04 08:07:24,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",1
415.5,2023-07-28 16:29:23,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2024-11-04 08:10:23,"(0.256, 2.051]","(0.579, 1.981]",3
265.76,2023-02-06 17:48:55,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,2024-11-04 08:12:18,"(-0.33, 0.256]","(-0.711, 0.579]",1
69.4,2023-07-24 18:08:43,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,2024-11-04 08:09:04,"(-1.019, -0.75]","(0.579, 1.981]",3
332.93,2023-11-20 16:29:48,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,2024-11-04 08:08:14,"(-0.33, 0.256]","(-0.711, 0.579]",0
267.9,2023-10-09 16:52:47,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,2024-11-04 08:08:34,"(-0.33, 0.256]","(-1.4969999999999999, -0.711]",3
496.03,2023-11-03 16:45:52,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2024-11-04 08:09:41,"(0.256, 2.051]","(0.579, 1.981]",0
376.26,2023-02-15 16:41:11,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2024-11-04 08:09:58,"(0.256, 2.051]","(-0.711, 0.579]",1
83.01999999999998,2023-09-04 17:59:51,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,2024-11-04 08:11:01,"(-0.75, -0.33]","(-0.711, 0.579]",3
93.25999999999999,2023-07-27 16:22:52,Credit,New York,Online,20.0,Student,72.0,1.0,1152.1999999999998,2024-11-04 08:12:04,"(-0.75, -0.33]","(-1.4969999999999999, -0.711]",3
803.37,2023-04-17 16:08:34,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,2024-11-04 08:08:40,"(0.256, 2.051]","(0.579, 1.981]",2
35.75999999999999,2023-09-19 17:38:18,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999997,2024-11-04 08:11:40,"(-1.019, -0.75]","(-1.4969999999999999, -0.711]",3
28.529999999999973,2023-05-31 16:37:39,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,2024-11-04 08:06:30,"(-1.019, -0.75]","(0.579, 1.981]",2
139.53,2023-10-09 17:20:09,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,2024-11-04 08:07:31,"(-0.75, -0.33]","(-0.711, 0.579]",3
307.57,2023-01-09 16:12:01,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,2024-11-04 08:06:33,"(-0.33, 0.256]","(-0.711, 0.579]",1
60.650000000000006,2023-05-26 18:15:08,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.2799999999997,2024-11-04 08:09:22,"(-1.019, -0.75]","(0.579, 1.981]",2
